Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
1960,4,2,00:00,UTC,-1,64,-4.4,-0.6,-8.4
1960,4,3,00:00,UTC,-1,64,-5.7,-1.7,-9.6
1960,4,4,00:00,UTC,-1,64,-3.8,1.8,-10.4
1960,4,5,00:00,UTC,-1,62,-3.2,1.6,-9.2
1960,4,6,00:00,UTC,-1,62,-0.6,4,-6.6
1960,4,7,00:00,UTC,-1,62,2.2,6.9,-1.8
1960,4,8,00:00,UTC,-1,62,0.9,4.8,-2.5
1960,4,9,00:00,UTC,-1,60,-0.1,3.4,-4
1960,4,10,00:00,UTC,1.8,60,2,4.8,-1.9
1960,4,11,00:00,UTC,4.8,58,2,4.4,1
1960,4,12,00:00,UTC,1.6,52,3.1,5,1
1960,4,13,00:00,UTC,5.2,45,2.8,4.5,1.6
1960,4,14,00:00,UTC,1.1,38,4.1,5.4,3
1960,4,15,00:00,UTC,0.1,32,3.4,5.4,2
1960,4,16,00:00,UTC,-1,24,4.1,6.7,2.2
1960,4,17,00:00,UTC,-1,18,5.7,10.6,2
1960,4,18,00:00,UTC,-1,12,4.8,8.3,1.4
1960,4,19,00:00,UTC,-1,6,6,9.8,-0.1
1960,4,20,00:00,UTC,-1,-1,7,11.4,1.1
1960,4,21,00:00,UTC,-1,-1,5.6,10.2,0.6
1960,4,22,00:00,UTC,0,-1,4.7,8.8,2.2
1960,4,23,00:00,UTC,2.3,-1,2.6,5.3,0.4
1960,4,24,00:00,UTC,-1,-1,2.3,6,-0.6
1960,4,25,00:00,UTC,11,-1,2.7,7.6,-0.3
1960,4,26,00:00,UTC,5.7,-1,3.8,8.8,0.8
1960,4,27,00:00,UTC,1.2,-1,3.7,6,0.9
1960,4,28,00:00,UTC,0.3,-1,5.8,9.1,2.8
1960,4,29,00:00,UTC,1.6,-1,2.6,6.3,1.1
1960,4,30,00:00,UTC,-1,-1,2,5.6,-0.6
1960,5,1,00:00,UTC,0.3,-1,5.4,7.5,1.6
1960,5,2,00:00,UTC,5.4,-1,5.1,7.6,3.2
1960,5,3,00:00,UTC,2.8,-1,3.6,7,1.5
1960,5,4,00:00,UTC,1.1,-1,4.3,7.4,0.1
1960,5,5,00:00,UTC,4.7,-1,3.9,5.6,1.7
1960,5,6,00:00,UTC,-1,-1,5,7.6,3.2
1960,5,7,00:00,UTC,-1,-1,7.1,11,0.6
1960,5,8,00:00,UTC,0,-1,8.5,12.4,5.5
1960,5,9,00:00,UTC,-1,-1,11.6,17.5,6.3
1960,5,10,00:00,UTC,-1,-1,10.1,14.8,6.5
1960,5,11,00:00,UTC,-1,-1,11.4,14.3,7.4
1960,5,12,00:00,UTC,-1,-1,13.7,17.3,9.3
1960,5,13,00:00,UTC,0.1,-1,13.4,18.2,11
1960,5,14,00:00,UTC,-1,-1,9.9,12.6,6.5
1960,5,15,00:00,UTC,-1,-1,12.5,16.5,8.2
1960,5,16,00:00,UTC,-1,-1,14.4,19.1,7.1
1960,5,17,00:00,UTC,-1,-1,12.9,17.6,9.5
1960,5,18,00:00,UTC,-1,-1,14.8,18.5,8.9
1960,5,19,00:00,UTC,-1,-1,13.9,18.4,9.2
1960,5,20,00:00,UTC,-1,-1,11.2,14.4,8.5
1960,5,21,00:00,UTC,-1,-1,7,10.3,1.9
1960,5,22,00:00,UTC,-1,-1,7.1,9.9,3.2
1960,5,23,00:00,UTC,-1,-1,10,13.7,4.2
1960,5,24,00:00,UTC,-1,-1,12.4,15.8,8.1
1960,5,25,00:00,UTC,-1,-1,12.4,17.3,8.8
1960,5,26,00:00,UTC,-1,-1,13.1,16.4,10.2
1960,5,27,00:00,UTC,-1,-1,13.5,16.9,10.2
1960,5,28,00:00,UTC,-1,-1,16.7,20.5,12.5
1960,5,29,00:00,UTC,-1,-1,17.2,20.7,13.6
1960,5,30,00:00,UTC,-1,-1,19.2,24.9,14.5
1960,5,31,00:00,UTC,-1,-1,18.2,22.8,14.1
1960,6,1,00:00,UTC,-1,-1,17.1,23.4,13.6
1960,6,2,00:00,UTC,-1,-1,15,20.2,11.3
1960,6,3,00:00,UTC,-1,-1,16.6,22.3,11.3
1960,6,4,00:00,UTC,-1,-1,19.8,26.1,12.4
1960,6,5,00:00,UTC,-1,-1,19.9,23.8,14.5
1960,6,6,00:00,UTC,-1,-1,18.9,22.9,13.5
1960,6,7,00:00,UTC,3.5,-1,19.7,24.4,15.5
1960,6,8,00:00,UTC,-1,-1,17,22,13.8
1960,6,9,00:00,UTC,0.8,-1,15.3,18.2,11
1960,6,10,00:00,UTC,3.7,-1,14.3,17.3,11.8
1960,6,11,00:00,UTC,0.1,-1,15.9,21.2,10.4
1960,6,12,00:00,UTC,-1,-1,15.4,19.8,14.5
1960,6,13,00:00,UTC,4.6,-1,13.6,16.7,11.5
1960,6,14,00:00,UTC,9.9,-1,14.5,18.9,13
1960,6,15,00:00,UTC,0,-1,14.2,17.7,12.4
1960,6,16,00:00,UTC,5.8,-1,14,17.6,11.8
1960,6,17,00:00,UTC,-1,-1,15.5,21.4,9
1960,6,18,00:00,UTC,5.1,-1,14.9,18.5,11.2
1960,6,19,00:00,UTC,1,-1,14.8,19.4,11.2
1960,6,20,00:00,UTC,2.6,-1,13.1,16.3,10.5
1960,6,21,00:00,UTC,0.5,-1,14.1,18.7,10.4
1960,6,22,00:00,UTC,0.3,-1,15.8,20.8,10.5
